"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
264,11298.61727,8262.58395,112.77946,320.07038,29.80626
265,11105.26468,8884.51322,116.74492,870.30143,13.26854
266,11186.68883,11494.08771,88.02655,489.34678,13.86054
267,11245.29776,18384.75666,215.90689,3462.10508,14.48856
268,11150.69442,18742.09254,157.8841,3144.7121,9.48175
269,11190.38543,19537.02287,92.64912,469.01759,18.47601
270,11202.9525,12385.92788,103.65889,767.53548,11.94596
271,11372.4391,5128.34544,156.04179,1399.41503,18.56256
272,11266.80544,7092.79127,100.76629,927.55756,12.79615
273,11354.20274,7644.98263,63.56416,182.08393,22.32654
274,11336.90333,11756.22769,120.74516,501.99948,30.44523
275,11288.72875,14918.76076,86.66725,411.21416,21.15269
276,11385.27119,17512.95922,111.27658,1042.28464,10.63607
277,11385.87451,9899.71127,109.83749,687.33907,12.89756
278,11403.8234,14155.12329,119.96369,1030.73733,15.11362
279,11220.6772,21831.98523,213.55729,1051.4569,34.83228
280,11329.22646,13235.26228,184.08608,1076.50237,19.44248
281,11441.89605,15950.79355,134.01374,1189.18927,15.16864
282,11479.72798,23827.12592,146.3565,1343.57302,17.09064
283,11518.97424,25664.70664,145.31166,1984.34064,8.22877
284,11584.8642,8148.07973,138.32739,1864.14935,11.74014
285,11593.85469,10974.71247,188.18433,1716.41658,21.50373
286,11602.31646,11756.43461,48.75495,176.8391,12.87736
287,11526.29185,12772.80237,87.61923,482.9113,9.93223
288,11583.67394,15766.99648,223.90519,1566.08447,28.80441
289,11562.71284,24393.44808,114.08852,662.05451,23.96008
290,11613.85987,4223.90506,100.27868,1151.78121,6.89735
291,11620.32697,14561.61696,74.34698,465.86327,12.12534
292,11499.60066,18026.83521,223.65251,1904.01035,24.76982
293,11674.04033,19871.52984,91.33423,505.79907,15.89527
294,11688.39207,20992.02869,109.05708,617.0802,13.55281
295,11772.73188,5145.28332,82.41724,370.0304,20.45713
296,11720.6821,8852.03247,102.61211,638.09458,11.57723
297,11670.95903,10970.43966,169.94008,1707.99803,17.83607
298,11803.57317,23463.50495,144.82844,1123.30031,19.19672
299,11751.68733,5965.76221,75.08415,242.30387,25.20529
300,11723.32248,5670.55383,257.08085,2068.63309,27.4294
301,11832.68293,6236.1034,106.84153,590.88875,14.96757
302,12047.02991,6806.58511,138.18659,1185.10673,16.95274
303,11861.54701,9825.67097,114.11765,694.31995,21.3465
304,11792.88613,11771.88011,157.91588,750.0497,26.86314
305,11933.92682,13616.30598,98.4976,444.39189,20.08681
306,11872.72998,18987.75538,131.47341,935.46984,11.85794
307,11933.29683,21940.03535,98.41418,579.27973,14.25907
308,11984.86353,12131.41874,83.88068,513.05651,13.9234
309,11925.97101,15590.73031,117.84423,706.42676,14.48932
310,11930.0892,19759.69113,73.8996,262.0435,22.76539
311,11931.27491,20565.57741,134.26782,2124.43503,6.84916
312,11945.26707,22339.29008,154.30339,1875.33231,10.73714
313,12038.33047,4413.75692,74.70315,407.04767,10.58294
314,12129.89878,6765.26957,187.3276,2575.3477,16.44304
315,12063.19223,16503.34323,83.07411,366.62463,14.0911
316,12062.57584,23309.44253,79.48855,602.98144,12.67295
317,11956.53425,23889.20201,159.44605,2553.22233,10.37937
318,11999.38564,25209.09055,99.77718,724.39403,11.60262
319,12185.15987,26180.45033,174.02322,1296.39695,22.76861
320,12072.80485,7688.04038,114.25713,637.32852,14.03014
321,12021.4239,9540.01434,220.35919,1610.34858,31.37658
322,12178.6457,17577.68871,161.0224,1533.99902,16.61605
323,12231.09926,9239.67006,90.4853,765.85208,10.38272
324,12096.52147,10292.16421,59.41914,117.24934,19.59651
325,12248.5809,11434.33314,105.5726,724.3371,15.68903
326,12243.65785,12983.31495,177.67113,1700.20922,15.96139
327,12189.3023,14130.09517,145.23368,1675.78046,10.64512
328,12243.82979,17178.62071,94.06701,562.98284,15.39199
329,12187.73909,18349.9947,71.64106,212.07135,26.99669
330,12229.58103,22993.20833,108.31185,771.74315,18.63103
331,12263.34173,5468.70567,96.96442,684.59836,14.537
332,12350.4006,8040.98186,103.9957,439.92018,20.95173
333,12248.50109,19158.71876,67.57747,267.08691,14.0123
334,12308.30463,24744.81238,101.54756,621.94194,15.11877
335,12363.78278,25886.41298,117.97128,707.20108,15.39602
336,12327.76732,26126.98423,207.47073,1874.82494,23.56918
337,12441.56204,10736.70059,96.15679,347.07175,13.22625
338,12394.2479,19411.28189,87.87185,283.17577,20.72692
339,12498.78545,21029.05089,193.19272,1455.14056,15.34009
340,12297.08831,6473.09437,156.08142,995.98032,27.112
341,12505.53454,13149.09951,166.58913,1324.15808,22.16531
342,12681.43381,14768.15673,90.07236,578.52977,11.28686
343,12508.62827,16881.38881,97.2966,544.13368,14.26833
344,12599.85696,17912.20494,99.83321,542.43115,23.70419
345,12551.90688,22162.78821,171.679,2304.7144,10.03126
346,12468.70695,6722.72692,123.96356,1096.15206,11.54257
347,12584.33241,11203.16404,82.47938,491.70144,13.03322
348,12604.30761,18561.4371,135.6318,1015.25957,17.91984
349,12667.56538,6020.21157,135.30274,891.14062,23.03988
350,12443.45773,8343.07766,208.6892,1495.5847,25.19317
351,12765.64539,9572.77378,128.33192,777.19936,18.1192
352,12773.18584,14869.32141,167.90657,1658.43815,16.40834
353,12594.65172,26357.0785,210.33152,1789.22105,21.43646
354,12556.43093,26467.17585,275.25138,3255.00656,29.6163
355,12679.66064,26924.3506,120.57792,1991.10538,7.98685
356,12750.69772,4455.52449,139.23576,1829.48878,16.79648
357,12753.72279,7974.75928,170.08713,1940.46146,8.91065
358,12951.78937,11756.99108,142.83941,851.10396,19.89345
359,12944.08879,12843.68852,290.10481,3607.10736,22.86027
360,12806.20034,18974.04221,105.59957,506.33181,23.66137
361,12593.33385,19420.21593,99.17132,307.58845,32.45774
362,12783.45244,20106.00496,112.01321,1087.3396,16.64208
363,12703.18035,25312.17136,116.56046,539.4401,17.85482
364,12863.42977,4711.37281,125.1815,1528.29999,19.00373
365,12842.83389,20829.80871,86.15554,570.18411,11.08004
366,12880.51112,24351.85386,166.08724,1902.48618,13.49792
367,12889.26075,25854.66875,119.4422,676.47748,21.30458
368,12953.41256,4893.84823,172.34111,2828.05091,14.88649
369,12977.74103,5833.63402,37.92274,148.87715,13.18182
370,12986.67709,12465.06169,205.75,2896.37989,17.98224
371,12959.62072,16492.56253,121.38575,924.99065,13.32203
372,12920.4173,21195.4305,110.6577,642.8449,22.41404
373,13038.70816,10253.30077,100.62887,1018.37251,9.87568
374,13067.006,10693.27011,141.71341,975.33514,21.20341
375,13062.10013,12347.15877,197.89554,2663.63375,19.06462
376,13054.7674,13870.03888,106.16257,383.2477,17.24749
377,13016.31594,14825.82162,140.19613,1332.26597,13.96655
378,12990.37974,15770.20446,45.35075,125.38526,13.05216
379,12927.0342,17773.50669,108.77386,906.01445,11.40714
380,12967.92206,22588.75466,155.54881,2132.76423,11.17623
381,13097.84234,23249.11586,121.24586,364.85723,24.41294
382,13039.88915,9440.49941,3.53054,162.72332,3.76478
383,13045.48053,11754.10331,136.91125,1072.01491,15.2801
384,12982.39015,17552.82555,131.95847,590.73641,20.53015
385,13040.3563,20099.16152,133.58511,1417.42395,16.04116
386,13093.8814,21478.12209,115.20412,1151.7538,15.72593
387,13183.6856,22261.68742,156.40664,1071.63332,40.34663
388,13098.29055,24059.86195,153.3232,1740.09909,17.23059
389,13205.66445,26154.04313,153.09684,1401.17031,18.13045
390,13289.02952,5536.47135,173.7487,2268.60756,16.80375
391,13207.49496,19018.04034,126.59117,685.9304,24.88436
392,13334.85554,7121.06541,151.90741,2119.25879,10.5825
393,13337.31941,10730.52532,190.88512,1850.38134,19.23603
394,13300.38605,12397.08325,69.2774,289.53982,19.47203
395,13300.46356,17103.30883,65.1247,170.62577,14.6554
396,13109.46988,22232.13535,318.41004,5073.81979,34.49201
397,13344.20083,27783.58146,122.97289,1422.78517,9.27893
398,13387.82642,4574.64853,103.76989,1083.99731,8.78435
399,13332.07312,5535.73217,169.0084,2093.19042,15.75756
400,13411.79731,6130.20166,117.83881,957.53325,21.58714
401,13427.29476,8768.50771,77.86756,272.36392,16.14151
402,13501.9014,15469.31102,145.51134,659.08091,27.35621
