"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
563,29271.81799,16775.42503,101.20646,798.70219,10.17396
564,29221.25616,20946.17529,217.90098,4384.65266,9.21437
565,29246.6226,15039.58095,399.94758,15247.82674,6.89621
566,29190.98449,22196.89531,554.80638,43266.88529,7.37818
567,29271.44137,20989.79759,144.09673,1013.09383,20.98407
568,29387.50756,22393.12076,421.72396,26989.5452,6.85924
569,29361.35708,29861.53766,146.98625,842.31957,22.16857
570,29498.73875,14265.83849,73.94795,244.16085,14.84373
571,29426.88228,16257.54418,316.82592,9751.35546,8.81807
572,29462.1906,19132.29776,163.19909,10982.28065,4.16
573,29508.16907,26586.98175,109.2911,673.25885,13.45509
574,29566.881,22970.24993,124.37821,574.84777,23.10297
575,29837.43125,20234.5981,245.71454,2290.37566,20.28503
576,29724.24121,24004.6842,137.18289,801.2817,21.08599
577,29818.31936,24717.81723,219.87151,3540.03721,14.54692
578,29849.3019,28348.14643,495.88629,33512.97974,6.0278
579,29586.67921,30824.70577,133.77942,3587.13114,16.27007
580,29888.7865,13850.08036,171.59236,1124.97752,18.91476
581,29874.53973,21577.68633,435.53825,27389.10417,5.62188
582,29812.04144,25857.99622,103.48983,436.46668,18.75752
583,29639.37835,31272.67509,106.7953,1386.26649,18.60771
584,29813.73066,18577.49593,264.45033,4004.52151,11.64267
585,29890.41682,27283.85223,52.98394,147.86398,16.42521
586,29852.7551,14680.71375,105.94881,2107.44562,20.48675
587,30021.55966,25102.17658,436.35959,27953.16687,6.35484
588,29996.27877,29637.0195,176.96099,1243.65478,20.15291
589,30036.32039,30089.00709,271.9681,5192.17278,11.42493
590,30020.5098,20180.64511,91.39449,537.2678,17.00496
591,29950.95172,24747.85579,246.77599,4322.75889,12.36688
592,30077.3113,26550.46192,155.51996,949.20267,19.00417
593,30155.21343,27739.70082,320.80024,6961.44133,13.29395
594,30043.62497,28237.83424,327.67968,10108.65309,8.7755
595,30093.70888,22068.96754,103.95543,435.6072,24.73544
596,30068.48058,21095.01279,415.61629,28743.41845,4.98859
597,30169.25082,25586.99319,175.27921,2229.29137,14.27812
598,30360.49738,16372.50581,167.63423,2456.47941,9.60025
599,30317.72486,29656.69463,171.70164,1157.40066,19.41963
600,30425.5766,31079.49616,101.56414,1620.64084,19.29071
601,30397.44228,15672.78215,115.58865,2123.1317,17.53965
602,30320.55606,19068.06126,150.85257,1001.21348,21.62615
603,30306.27253,20274.49121,133.97913,894.05703,16.41645
604,30217.74277,20903.15589,372.06699,18217.5381,6.90022
