id,x [nm],y [nm],sigma [nm],intensity [photon],uncertainty_xy [nm],x_px,y_px,sigma_px,mean_intensity,Outlier
637,15897.08101,16997.73768,129.57013,9770.42339,8.53736,276,290,2,0.08932461873638345,False
638,15993.90169,7946.34965,108.26461,4659.95966,13.15798,278,135,2,0.040522875816993466,False
641,16016.79887,10662.88059,87.40071,3963.57988,10.18519,279,182,2,0.11633986928104575,False
642,16023.62422,11100.2178,91.31642,5415.27905,9.91049,279,189,2,0.07320261437908498,False
643,16028.82833,14354.79316,84.92738,2512.82783,16.96818,279,245,1,0.011764705882352941,False
644,15909.28887,16027.08485,78.32515,2730.06299,12.48593,277,273,1,0.00392156862745098,False
645,15951.938,16426.74652,108.15286,4286.003,19.71521,277,280,2,0.12069716775599128,False
646,16009.4032,19585.2063,77.17033,1956.40038,14.05675,278,334,1,0.09019607843137256,False
648,16019.09646,17588.14068,111.29963,10212.74232,9.07504,279,300,2,0.11633986928104575,False
649,16011.3308,16348.94557,112.12292,3801.2728,18.60192,278,279,2,0.09978213507625272,False
650,16054.74217,11554.47052,95.19007,3905.83257,12.11676,279,197,2,0.09106753812636165,False
651,16096.24696,12887.10649,154.42086,9704.14323,10.83651,280,220,3,0.10525490196078431,False
652,16257.53932,15566.65806,77.21518,8182.76849,4.86269,283,265,1,0.0,False
653,16365.82155,8615.471,94.19969,6187.73295,9.18372,285,147,2,0.036601307189542485,False
657,16294.28472,17851.80896,104.58024,6112.84828,8.15643,283,304,2,0.03137254901960784,False
658,16353.17445,18436.98689,95.18936,2675.20628,14.618,284,314,2,0.12505446623093683,False
659,16306.32749,19120.40363,112.9394,4703.94485,12.53053,284,326,2,0.03311546840958606,False
662,16475.8231,20329.79043,80.99986,2193.61353,12.54528,287,346,1,0.07058823529411765,False
664,16586.28648,9116.71925,101.45357,5529.51369,13.4568,288,155,2,0.14074074074074072,False
665,16480.2616,13643.72387,95.63902,3045.23823,12.60262,287,232,2,0.03485838779956427,False
666,16590.38732,14073.36908,103.91854,4406.91444,10.52249,289,240,2,0.05359477124183007,False
667,16534.92502,15899.53657,76.43759,2182.81775,13.40687,288,271,1,0.0784313725490196,False
669,16458.57633,8196.10416,90.66175,3803.96513,8.50798,286,140,2,0.0832244008714597,False
670,16567.61222,9015.61514,161.09722,7986.39842,13.00082,288,154,3,0.12956862745098038,False
671,16518.45206,9842.69922,82.56184,2929.65408,12.88767,287,168,1,0.2,False
672,16566.96504,18342.3925,78.15133,2078.73956,16.59115,288,312,1,0.07058823529411765,False
673,16518.10811,15653.14518,83.89428,3306.59609,11.49922,287,267,1,0.12941176470588234,False
674,16542.45677,16760.92776,86.23942,3571.41553,9.70557,288,286,1,0.054901960784313725,False
675,16706.999,9320.81274,110.71226,9239.03291,8.96462,291,159,2,0.1485838779956427,False
676,16679.71218,12998.23796,129.05553,7172.77882,11.36664,290,221,2,0.20305010893246186,False
678,16499.2201,20214.32526,108.087,3318.7485,21.7114,287,344,2,0.040958605664488015,False
679,16827.17656,10292.1123,98.94275,1198.16043,34.19911,293,175,2,0.027450980392156862,False
680,16724.81382,10545.82894,92.32525,5103.04131,9.70972,291,180,2,0.1468409586056645,False
681,16750.09418,14930.83714,160.91968,13394.78385,7.32067,291,254,3,0.09850980392156862,False
683,16806.91386,15981.00225,80.8596,1743.42275,13.34682,292,272,1,0.11764705882352941,False
684,16869.18315,19691.31941,76.28909,1692.06427,13.52914,293,335,1,0.10196078431372549,False
685,16905.46573,20530.26899,84.94437,3554.30829,9.7846,294,350,1,0.36078431372549025,True
686,16781.34502,9254.45804,115.95449,8357.29733,9.58928,292,158,2,0.110239651416122,False
687,16925.28074,12050.14336,102.96159,6509.36615,9.4046,294,205,2,0.10588235294117647,False
688,16906.46405,14307.0541,156.26232,10275.11432,9.76302,294,244,3,0.1476078431372549,False
689,17021.5233,17531.25559,83.00366,4809.47025,9.83884,296,299,1,0.30588235294117655,True
690,16875.47822,9785.04564,77.23963,2367.90572,10.97355,293,167,1,0.058823529411764705,False
691,16874.38912,10546.41905,92.7145,4267.69861,13.12078,293,180,2,0.10806100217864924,False
692,16937.52984,11265.26924,108.18464,9505.50834,5.80224,295,192,2,0.037037037037037035,False
694,16910.60322,12976.98899,127.17671,9725.93493,9.50738,294,221,2,0.07450980392156863,False
695,16812.35762,15387.20228,94.45772,3387.50863,13.0546,292,262,2,0.07102396514161219,False
697,17010.12277,8201.71534,75.30032,2962.07211,11.01911,296,140,1,0.1411764705882353,False
698,17015.23,11003.39636,80.6409,2881.99662,13.67287,296,187,1,0.16470588235294117,False
699,16969.36131,18234.28722,96.25938,2553.49138,23.93693,295,311,2,0.09193899782135077,False
700,17015.51238,18531.65233,145.12837,13525.24398,7.90522,296,316,2,0.14248366013071895,False
701,16956.42365,14979.94205,111.86123,6638.03689,9.68899,295,255,2,0.06840958605664488,False
704,17077.0732,10615.96259,93.92389,3841.03016,13.444,297,181,2,0.1281045751633987,False
705,17157.24213,13278.2593,89.50627,3726.75902,10.51556,298,226,2,0.06971677559912853,False
706,17191.57333,12431.87308,80.97822,2469.79963,12.56064,299,212,1,0.03137254901960784,False
707,17108.65898,13223.67764,100.53226,5829.32851,10.29958,298,225,2,0.08453159041394336,False
708,17096.64367,18716.89933,160.04071,13115.51772,10.4331,297,319,3,0.11545098039215684,False
709,17171.25075,8325.8258,80.91883,3698.60558,10.10487,299,142,1,0.12549019607843137,False
711,17190.90758,14367.85286,133.04591,10371.32479,7.17436,299,245,2,0.08714596949891067,False
713,17305.79382,19334.98566,129.83361,9888.11099,9.70324,301,329,2,0.04400871459694989,False
714,17277.19643,20204.88775,106.40328,56009.16489,1.59058,300,344,2,0.1821350762527233,False
715,17368.64887,9197.30364,95.4243,2271.34525,16.61806,302,157,2,0.08671023965141611,False
716,17300.70782,10584.8416,84.11516,2320.29933,12.87072,301,180,1,0.10196078431372549,False
717,17407.72307,8627.23958,76.832,1793.59972,14.11786,303,147,1,0.0392156862745098,False
718,17489.40327,10016.0654,85.46284,2302.24159,16.77618,304,171,1,0.0392156862745098,False
720,17379.1965,15815.53338,92.65692,6145.47138,7.42442,302,269,2,0.05359477124183006,False
721,17384.6273,16784.16632,77.77235,2903.02223,11.06729,302,286,1,0.08627450980392157,False
722,17302.40462,19331.9015,106.42533,9893.44179,9.30778,301,329,2,0.04400871459694989,False
723,17436.44944,10877.37743,82.54469,1497.94656,17.23024,303,185,1,0.16470588235294117,False
725,17440.96915,12458.68867,88.25641,1795.05183,14.66454,303,212,2,0.11721132897603488,False
726,17428.8493,17574.63281,198.84532,58757.04412,3.02318,303,299,3,0.2843921568627451,True
728,17511.45664,9680.78204,93.87178,4420.52904,9.9265,305,165,2,0.08017429193899782,False
733,17585.13668,14188.92867,111.78176,3728.29911,14.27857,306,242,2,0.08845315904139434,False
735,17486.53696,16077.84283,93.54136,3263.27435,10.96222,304,274,2,0.0644880174291939,False
737,17666.80321,10137.24427,103.25011,5696.70925,10.52738,307,173,2,0.10501089324618736,False
739,17496.97521,14187.91589,125.24421,4470.76058,15.25391,304,242,2,0.08235294117647059,False
742,17699.19207,13085.83072,134.28687,4320.34012,15.83886,308,223,2,0.055337690631808274,False
743,17744.89242,13295.58853,81.61228,3671.90336,10.22909,309,227,1,0.0392156862745098,False
744,17730.96748,16637.29475,78.86522,1866.55725,13.4781,308,283,1,0.0,False
745,17711.23095,13684.61812,88.00749,4566.75897,11.03349,308,233,2,0.1403050108932462,False
748,17678.12267,14034.4435,108.27992,2312.24298,23.23597,307,239,2,0.05751633986928105,False
752,17770.69739,13514.99231,91.80713,5328.10423,10.89926,309,230,2,0.07233115468409586,False
753,17921.53392,14681.03552,106.395,3051.38094,13.79926,312,250,2,0.06710239651416122,False
754,17806.0302,16017.40945,75.6331,1225.59983,18.00136,310,273,1,0.0,False
755,17729.37189,17824.77636,128.61664,12200.03757,8.64131,308,304,2,0.11285403050108932,False
756,17902.71257,20137.10552,128.85893,8570.55954,8.42918,311,343,2,0.14422657952069717,False
757,17955.93329,20791.19185,99.60016,3354.68365,14.064,312,354,2,0.06579520697167757,False
758,18017.62356,8051.66807,98.40022,6026.67771,8.5314,313,137,2,0.1516339869281046,False
759,17932.08089,10072.98901,94.10891,2495.83438,17.65177,312,172,2,0.016557734204793027,False
765,18090.92118,9402.44162,134.41581,9397.01985,9.19741,315,160,2,0.14161220043572983,False
766,18028.62854,20929.39057,111.46818,4523.44725,13.47907,314,357,2,0.016993464052287584,False
767,18044.50923,20843.98701,95.51205,3060.30576,16.7876,314,355,2,0.018736383442265792,False
768,18062.69527,11444.63845,93.77753,4813.55652,8.4938,314,195,2,0.07363834422657951,False
769,18075.71542,12721.27219,135.99072,14934.6137,6.32392,314,217,2,0.134640522875817,False
771,18272.57226,13237.82099,103.60516,3493.94654,15.54153,318,226,2,0.08104575163398692,False
773,18236.64739,10753.76178,106.52052,7485.00853,6.99106,317,183,2,0.13986928104575164,False
775,18190.62114,18331.96653,75.07531,2239.32679,13.97105,316,312,1,0.00392156862745098,False
776,18248.27869,10414.21609,81.96363,2906.67565,9.88707,317,177,1,0.06666666666666667,False
779,18270.17721,15010.24906,149.62358,7094.86239,13.76302,318,256,3,0.05694117647058824,False
780,18377.69883,15834.07358,102.88262,4287.40408,11.73233,320,270,2,0.12113289760348585,False
781,18261.7992,20361.2575,110.58596,4394.88272,15.89103,318,347,2,0.08453159041394336,False
783,18419.71649,16538.81827,184.51401,10206.07608,12.55057,320,282,3,0.053803921568627455,False
784,18326.11124,21282.29189,78.27465,3835.05067,7.66045,319,363,1,0.10588235294117646,False
785,18334.85435,8065.16601,97.57973,5834.66465,11.20922,319,137,2,0.11285403050108932,False
786,18479.6304,8932.8778,79.27434,1522.20699,15.73169,321,152,1,0.1568627450980392,False
787,18401.2151,16236.27899,140.8125,11638.36725,8.39353,320,277,2,0.1298474945533769,False
789,18300.19282,18461.95424,75.16993,2636.19311,11.54562,318,315,1,0.06666666666666667,False
790,18399.48666,19393.21358,89.55181,5276.90776,9.6268,320,330,2,0.14814814814814817,False
791,18355.93286,9457.86922,91.25206,4178.72259,12.64426,319,161,2,0.09978213507625272,False
792,18531.94107,12065.93005,91.38043,3040.91295,9.5225,322,206,2,0.056209150326797394,False
793,18430.23406,20384.86657,84.84858,3735.0999,14.92473,321,347,1,0.25098039215686274,True
794,18444.41351,8428.88007,117.5977,4975.63442,15.4955,321,144,2,0.1263616557734205,False
795,18366.32309,10725.7605,122.10699,6362.308,12.53343,319,183,2,0.12984749455337688,False
797,18406.40122,16648.44067,91.65664,2997.38337,15.52494,320,284,2,0.020043572984749455,False
798,18539.07014,17138.20561,80.97295,2527.30008,12.68788,322,292,1,0.08627450980392157,False
799,18535.31135,21406.05981,102.12124,6717.9814,16.7187,322,365,2,0.05359477124183007,False
800,18515.22236,19529.87152,84.75209,4137.81973,8.13224,322,333,1,0.08235294117647059,False
801,18548.04272,20920.97537,75.60217,2002.28469,13.61673,323,356,1,0.10588235294117646,False
802,18644.93056,11603.84266,89.78744,3023.9672,9.12524,324,198,2,0.07407407407407406,False
803,18610.31642,16825.53529,92.47859,2129.83105,21.87969,324,287,2,0.03355119825708061,False
806,18765.74695,19075.93929,94.33246,5243.4741,10.35429,326,325,2,0.11198257080610022,False
807,18656.8513,21668.79359,88.47064,6066.53943,8.37938,324,369,2,0.058387799564270156,False
808,18627.94113,9682.36793,75.67571,2470.36244,13.77012,324,165,1,0.0784313725490196,False
809,18678.37316,10063.69861,119.40336,7844.98385,7.53474,325,171,2,0.07058823529411765,False
810,18715.08097,12586.57353,84.16552,2770.60069,12.15712,325,214,1,0.08235294117647059,False
811,18597.09633,13132.96581,92.35053,3112.63842,13.28783,323,224,2,0.03572984749455337,False
812,18689.19132,14036.71554,94.31556,3317.71837,11.2637,325,239,2,0.05315904139433551,False
813,18750.54439,17270.79601,102.22798,3287.85425,19.26082,326,294,2,0.08932461873638345,False
815,18663.49349,11418.01265,99.28011,2418.85358,14.35354,325,195,2,0.06143790849673203,False
816,18610.80064,12077.07348,107.35064,3459.12644,14.42908,324,206,2,0.06143790849673203,False
817,18660.97487,20277.02894,102.65235,7851.77128,7.33914,325,345,2,0.03703703703703704,False
818,18768.28712,8273.39261,150.80698,6599.38281,11.51718,326,141,3,0.06980392156862744,False
819,18732.69911,8264.47308,149.11798,5352.35687,14.28504,326,141,3,0.06980392156862744,False
820,18782.92071,14165.27376,108.24033,6240.98908,10.43033,327,241,2,0.10065359477124183,False
821,18844.77448,15536.11392,91.21886,4230.52004,10.5141,328,265,2,0.0457516339869281,False
822,18779.13775,15529.43926,145.47162,7688.38665,10.89671,327,265,3,0.07325490196078431,False
823,18855.75238,16975.84302,85.66214,4027.72697,8.78729,328,289,1,0.0,False
824,18776.01112,19166.00401,93.70348,6437.24773,11.22938,327,327,2,0.17734204793028324,False
825,18988.10616,12536.71865,117.56888,3887.10074,18.6312,330,214,2,0.013071895424836602,False
828,18940.02895,10793.42612,86.83298,3099.62322,9.27679,329,184,1,0.058823529411764705,False
829,19005.36879,17626.00543,79.50693,2740.71159,12.31163,331,300,1,0.0392156862745098,False
830,18986.01606,18602.4411,79.76585,2245.92722,13.46799,330,317,1,0.09019607843137256,False
831,18856.6977,19015.63993,96.79106,5706.88841,14.18337,328,324,2,0.028758169934640518,False
832,18868.19098,21356.49626,75.80966,1625.37867,13.72797,328,364,1,0.10196078431372549,False
833,18968.27038,21866.82343,89.92253,2467.41715,12.19729,330,373,2,0.009150326797385621,False
836,18934.44048,14152.65201,83.86941,3699.58639,11.08629,329,241,1,0.17254901960784313,False
837,19019.9368,9357.28436,103.58104,2942.10555,13.29148,331,159,2,0.0906318082788671,False
840,19262.37906,11352.67262,87.49037,2492.82487,13.81952,335,193,2,0.052287581699346414,False
842,19184.63743,13428.97967,79.22737,2291.84703,9.38373,334,229,1,0.0,False
844,19185.926,20845.7106,92.76867,3894.47609,11.2353,334,355,2,0.05054466230936819,False
845,19176.31869,20939.94915,151.78159,8445.54435,9.78456,334,357,3,0.09756862745098038,False
846,19122.37868,10969.88924,101.50322,4168.94729,11.86014,333,187,2,0.04836601307189542,False
848,19307.14429,8529.33654,99.06594,5815.12964,8.65898,336,145,2,0.13420479302832244,False
850,19176.81444,14157.87293,90.09711,2548.64157,14.09555,334,241,2,0.03485838779956427,False
851,19160.45462,18369.57441,95.1374,2843.06884,13.3806,333,313,2,0.09803921568627452,False
852,19350.06697,15154.76745,90.51469,3217.03893,11.62224,337,258,2,0.016122004357298474,False
853,19394.37804,16212.30838,93.14805,5536.04462,8.89227,337,276,2,0.12418300653594772,False
855,19343.45694,18031.9851,78.8614,2559.0435,8.72562,336,307,1,0.08235294117647059,False
