"id","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty_xy [nm]"
182,9069.30651,5759.99851,53.39398,975.95669,14.71364
183,9076.44591,6420.09488,106.31868,5636.18561,10.08735
184,8921.76657,8902.3951,101.3243,4803.66515,9.36464
185,9034.18539,11451.92821,64.64466,1847.29563,10.85397
186,9060.45803,11962.39332,105.56196,5128.21146,8.25316
187,8984.97753,13510.39418,86.21344,3792.86446,10.9448
188,9003.40881,13829.68015,89.82273,4034.48192,12.46422
189,9109.02972,1468.42062,49.41768,972.0358,11.56429
190,9101.08014,7249.61924,68.81602,1812.97075,12.26225
191,9161.81625,8007.20328,90.12479,5447.19215,8.40358
192,9155.34624,4549.63328,144.87975,11754.62724,8.41453
193,9222.80157,8524.72135,192.82811,18679.94833,8.83275
194,9174.68216,10182.02066,30.42922,471.6109,9.61181
195,9177.65175,10624.56171,80.65955,2010.85246,15.10847
196,9263.1155,5067.62323,110.19373,3763.44935,15.53539
197,9215.55575,5181.63053,93.96417,3228.19247,15.73848
198,9299.6196,14299.75681,84.03034,1974.74247,18.02002
199,9354.41428,1214.04697,17.2264,255.65994,4.39221
200,9340.20256,2100.31434,61.45676,1799.79567,10.63806
201,9274.17304,7003.08072,59.537,1493.08316,10.44559
202,9320.4746,10427.72118,72.12866,2028.49557,13.85979
203,9266.21439,11218.71592,102.38488,3986.97393,9.80554
204,9326.26292,12304.1503,33.93962,506.60536,8.69332
205,9437.95975,5852.52807,118.17649,9402.0599,9.48477
206,9377.44466,7801.89846,85.58213,2341.21087,14.23552
207,9301.1049,8624.35189,114.41964,7958.31452,8.18727
208,9415.25455,10948.39857,61.78407,1703.97066,10.96978
209,9369.55782,13226.77855,122.56148,15489.26565,4.2093
210,9463.52174,3231.7903,47.10681,856.82524,8.37894
211,9442.45395,8091.29131,39.88663,747.14841,10.00237
212,9461.96594,11943.25358,97.99029,2678.53702,17.3105
213,9383.19912,14296.87831,74.53098,2027.1445,11.37565
214,9534.13428,14713.41158,90.47199,2786.23831,15.73821
215,9558.86287,3658.01468,67.3122,1502.2244,9.47806
216,9542.14933,5507.27953,79.9032,3611.38078,7.82901
217,9468.35635,9256.71171,30.10611,283.50664,11.16344
218,9594.2016,9897.74174,57.6319,1255.77732,14.66915
219,9593.71362,2509.09559,137.72381,13356.3737,5.46943
220,9468.23024,12711.45853,75.92762,1608.51102,15.87398
221,9651.54739,4326.00583,70.75673,2213.09518,10.30105
